Latitude(deg),Longitude(deg),CPR,DOP,SLI_Row,SLI_Col
-87.424665,80.464753,1.036987,0.098330,32206,472
-87.424652,80.465094,1.022242,0.127332,32207,472
-87.423824,80.454554,1.114145,0.123488,32214,473
-87.423811,80.454894,1.069757,0.095458,32215,473
-87.423798,80.455234,1.057227,0.065470,32216,473
-87.423786,80.455574,1.068125,0.057742,32217,473
-87.423773,80.455914,1.062032,0.065551,32218,473
-87.423760,80.456254,1.018277,0.069434,32219,473
-87.423735,80.456935,1.002676,0.099247,32221,473
-87.423697,80.457957,1.021870,0.090657,32224,473
-87.423685,80.458298,1.010761,0.119827,32225,473
-87.647497,84.892719,1.030134,0.099342,32289,33
-87.647160,84.885268,1.154471,0.091693,32289,34
-87.647486,84.893130,1.025845,0.069004,32290,33
-87.647149,84.885680,1.162776,0.085910,32290,34
-87.647475,84.893541,1.030037,0.069731,32291,33
-87.647139,84.886091,1.168953,0.086404,32291,34
-87.647464,84.893952,1.077051,0.107650,32292,33
-87.647128,84.886503,1.205130,0.111363,32292,34
-87.647095,84.887737,1.142038,0.107918,32295,34
-87.647084,84.888149,1.133462,0.103873,32296,34
-87.647073,84.888560,1.190540,0.124423,32297,34
-87.647051,84.889383,1.210513,0.126121,32299,34
-87.427888,80.576053,1.078459,0.110171,32304,466
-87.427875,80.576383,1.070247,0.070428,32305,466
-87.427862,80.576713,1.100389,0.066659,32306,466
-87.427849,80.577043,1.183128,0.113661,32307,466
-87.427796,80.578363,1.048345,0.124161,32311,466
-87.427769,80.579023,1.001634,0.123189,32313,466
-87.427016,80.566417,1.148579,0.119677,32314,467
-87.427003,80.566748,1.118402,0.096691,32315,467
-87.426989,80.567079,1.085006,0.103719,32316,467
-87.426976,80.567410,1.099928,0.106813,32317,467
-87.426963,80.567741,1.141367,0.109412,32318,467
-87.426950,80.568072,1.099988,0.096050,32319,467
-87.426937,80.568403,1.022090,0.063514,32320,467
-87.426184,80.555808,1.097336,0.104215,32321,468
-87.426171,80.556140,1.049610,0.106346,32322,468
-87.426158,80.556473,1.040846,0.126914,32323,468
-87.427192,80.593060,1.004070,0.127766,32356,466
-87.427178,80.593374,1.035254,0.126605,32357,466
-87.427163,80.593688,1.054347,0.123747,32358,466
-87.426400,80.581463,1.039684,0.126146,32360,467
-87.425568,80.570848,1.009620,0.119856,32367,468
-87.424566,80.564545,1.011500,0.058009,32387,469
-87.424553,80.564877,1.013833,0.055830,32388,469
-87.424540,80.565210,1.012394,0.056351,32389,469
-87.424527,80.565542,1.026087,0.057314,32390,469
-87.424514,80.565874,1.040789,0.061091,32391,469
-87.424501,80.566207,1.032868,0.067429,32392,469
-87.424488,80.566539,1.005527,0.074998,32393,469
-87.424462,80.567204,1.009552,0.078056,32395,469
-87.634751,84.689062,1.051111,0.128466,32409,67
-87.634741,84.689494,1.031520,0.126843,32410,67
-87.626448,84.586620,1.115734,0.129553,32532,88
-87.626440,84.587075,1.099227,0.125330,32533,88
-87.626431,84.587530,1.123853,0.129865,32534,88
-87.618440,84.448229,1.070658,0.126750,32587,108
-87.618429,84.448643,1.153437,0.103506,32588,108
-87.618419,84.449057,1.165383,0.090669,32589,108
-87.618786,84.457651,1.249171,0.129960,32590,107
-87.618408,84.449471,1.121950,0.076596,32590,108
-87.618398,84.449885,1.094400,0.084537,32591,108
-87.618765,84.458475,1.193429,0.116857,32592,107
-87.618387,84.450299,1.031418,0.072860,32592,108
-87.618754,84.458887,1.123605,0.075960,32593,107
-87.618743,84.459299,1.102432,0.055637,32594,107
-87.618733,84.459711,1.099801,0.050241,32595,107
-87.618722,84.460123,1.110983,0.054376,32596,107
-87.618712,84.460535,1.076140,0.049441,32597,107
-87.618701,84.460947,1.007722,0.057833,32598,107
-87.618690,84.461359,1.022203,0.079771,32599,107
-87.618680,84.461771,1.059025,0.075700,32600,107
-87.618669,84.462183,1.068905,0.059257,32601,107
